ID;year;constructorId;name;points;wins;target;avg_driver_points;avg_grid_position;avg_final_position;dnf_count;total_driver_points
250;1974;80;Iso Marlboro;4.0;0;0;0.14814814814814814;12.37037037037037;19.296296296296298;24;21.0
251;1975;1;McLaren;53.0;3;0;2.2413793103448274;9.620689655172415;10.172413793103448;13;501.0
252;1975;3;Williams;6.0;0;0;0.2222222222222222;17.666666666666668;18.11111111111111;21;24.5
253;1975;6;Ferrari;72.5;6;1;3.1964285714285716;4.392857142857143;7.071428571428571;7;614.5
254;1975;25;Tyrrell;25.0;1;0;1.032258064516129;9.129032258064516;10.483870967741936;19;312.0
255;1975;26;Lola;0.0;0;0;0.0;16.285714285714285;14.571428571428571;6;0.0
256;1975;32;Team Lotus;9.0;0;0;0.2903225806451613;16.35483870967742;14.064516129032258;19;53.0
257;1975;34;Brabham;54.0;2;0;2.1785714285714284;6.678571428571429;9.892857142857142;17;534.0
258;1975;37;March;7.5;1;0;0.2727272727272727;13.575757575757576;16.727272727272727;26;46.5
259;1975;56;Fittipaldi;0.0;0;0;0.0;18.285714285714285;18.428571428571427;9;0.0
260;1975;57;Ensign;1.0;0;0;0.09090909090909091;16.181818181818183;16.181818181818183;8;1.0
261;1975;63;Surtees;0.0;0;0;0.0;13.75;14.916666666666666;8;0.0
262;1975;64;Hesketh;33.0;1;0;1.2692307692307692;12.5;11.73076923076923;16;227.0
263;1975;66;BRM;0.0;0;0;0.0;20.272727272727273;18.636363636363637;7;0.0
264;1975;67;Penske;2.0;0;0;0.2;16.7;12.2;7;6.0
265;1975;73;Parnelli;5.0;0;0;0.4166666666666667;12.083333333333334;14.416666666666666;8;33.0
266;1975;74;Maki;0.0;0;0;0.0;0.0;27.2;5;0.0
267;1975;75;Embassy Hill;3.0;0;0;0.15789473684210525;16.210526315789473;13.947368421052632;13;10.0
268;1975;76;Lyncar;0.0;0;0;0.0;26.0;17.0;1;0.0
269;1975;202;Shadow-Ford;9.5;0;0;0.36538461538461536;8.538461538461538;14.0;21;49.5
270;1975;203;Shadow-Matra;0.0;0;0;0.0;13.5;19.5;2;3.0
271;1976;1;McLaren;74.0;6;0;2.75;8.21875;8.6875;16;661.0
272;1976;3;Williams;0.0;0;0;0.0;8.5;18.0;2;0.0
273;1976;6;Ferrari;83.0;6;1;3.3;4.733333333333333;7.966666666666667;9;912.0
274;1976;25;Tyrrell;71.0;1;0;2.1463414634146343;7.975609756097561;11.21951219512195;19;745.0
275;1976;27;Ligier;20.0;0;0;1.25;8.125;12.0625;10;172.0
276;1976;32;Team Lotus;29.0;1;0;1.032258064516129;11.387096774193548;14.709677419354838;22;174.0
277;1976;37;March;19.0;1;0;0.34545454545454546;10.727272727272727;16.054545454545455;43;132.0
278;1976;56;Fittipaldi;3.0;0;0;0.15;14.0;17.6;15;33.0
279;1976;57;Ensign;2.0;0;0;0.14285714285714285;13.714285714285714;14.857142857142858;10;12.0
280;1976;58;Shadow;10.0;0;0;0.30303030303030304;13.151515151515152;11.696969696969697;20;103.0
281;1976;59;Wolf;0.0;0;0;0.0;15.76;18.2;19;2.0
282;1976;63;Surtees;7.0;0;0;0.18421052631578946;17.789473684210527;15.289473684210526;28;43.0
283;1976;64;Hesketh;0.0;0;0;0.0;17.217391304347824;18.869565217391305;17;1.0
284;1976;66;BRM;0.0;0;0;0.0;21.0;22.0;1;0.0
285;1976;67;Penske;20.0;1;0;1.1764705882352942;11.823529411764707;11.176470588235293;11;154.0
286;1976;70;Boro;0.0;0;0;0.0;16.333333333333332;18.166666666666668;5;0.0
287;1976;72;Kojima;0.0;0;0;0.0;10.0;11.0;0;0.0
288;1976;73;Parnelli;1.0;0;0;0.5;14.0;10.5;2;2.0
289;1976;74;Maki;0.0;0;0;0.0;0.0;26.0;1;0.0
290;1976;182;Brabham-Ford;0.0;0;0;0.0;10.692307692307692;22.846153846153847;11;0.0
291;1976;204;Brabham-Alfa Romeo;9.0;0;0;0.3333333333333333;12.0;15.242424242424242;24;90.0
292;1977;1;McLaren;60.0;3;0;1.25;8.51923076923077;13.153846153846153;33;500.0
293;1977;4;Renault;0.0;0;0;0.0;13.0;20.4;5;0.0
294;1977;6;Ferrari;95.0;4;1;3.3529411764705883;7.0;7.5588235294117645;11;960.0
295;1977;25;Tyrrell;27.0;0;0;0.7714285714285715;10.485714285714286;13.114285714285714;23;208.0
296;1977;27;Ligier;18.0;1;0;1.0;9.277777777777779;11.38888888888889;13;131.0
